Inserting 10000000 vehicles into Elastic
Inserting 10000000 vehicles into ClickHouse
goos: darwin
goarch: arm64
pkg: github.com/KevinJoiner/vss-translator/cmd/esVSch
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=Elastic           	     100	  12580721 ns/op	 1354516 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=Elastic           	     100	  12459476 ns/op	 1354434 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=Elastic           	     100	  14573112 ns/op	 1354594 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=Elastic           	     100	  11400900 ns/op	 1354515 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=Elastic           	     100	  11301573 ns/op	 1354431 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectOrderByTime100Vehicles/DB=Elastic           	     100	  11994279 ns/op	 1354435 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=ClickHouse         	      19	  60291331 ns/op	  221137 B/op	    2771 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=ClickHouse         	      20	  60942035 ns/op	  221089 B/op	    2770 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=ClickHouse         	      19	  59384145 ns/op	  221071 B/op	    2770 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=ClickHouse         	      20	  58798092 ns/op	  221055 B/op	    2770 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=ClickHouse         	      19	  58466162 ns/op	  221094 B/op	    2770 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=ClickHouse         	      19	  60391921 ns/op	  221011 B/op	    2769 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=ClickHouse         	      21	  59045462 ns/op	  221037 B/op	    2770 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=ClickHouse         	      20	  58050442 ns/op	  221013 B/op	    2769 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=Elastic            	     100	  12061265 ns/op	 1354523 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=Elastic            	     100	  12284841 ns/op	 1354604 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=Elastic            	     100	  12247754 ns/op	 1354517 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=Elastic            	     100	  11782627 ns/op	 1354437 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=Elastic            	     100	  12206291 ns/op	 1354520 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=Elastic            	     100	  12144038 ns/op	 1354440 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=Elastic            	     100	  12374202 ns/op	 1354597 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubjectAndBrandOrderOdmeter100Vehicles/DB=Elastic            	     100	  11492791 ns/op	 1354434 B/op	    7592 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=ClickHouse                                	      56	  21809292 ns/op	 1829130 B/op	   21654 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=ClickHouse                                	      50	  22113359 ns/op	 1829853 B/op	   21655 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=ClickHouse                                	      56	  22163668 ns/op	 1829248 B/op	   21654 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=ClickHouse                                	      62	  21725413 ns/op	 1829432 B/op	   21655 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=ClickHouse                                	      56	  21936218 ns/op	 1828894 B/op	   21654 allocs/op
